RUN	SmokeTest.getCreditDetails	getcreditdetails	1570467023496	 	3.0.2
REQUEST	64		SmokeTest	1570467076084	1570467078377	OK	 
USER	SmokeTest	64	END	1570467076082	1570467078380
USER	SmokeTest	67	START	1570467078380	1570467078380
REQUEST	66		SmokeTest	1570467076198	1570467078674	OK	 
USER	SmokeTest	66	END	1570467076196	1570467078675
USER	SmokeTest	68	START	1570467078675	1570467078675
REQUEST	65		SmokeTest	1570467076187	1570467078893	OK	 
USER	SmokeTest	65	END	1570467076185	1570467078894
USER	SmokeTest	69	START	1570467078894	1570467078894
REQUEST	67		SmokeTest	1570467078382	1570467080314	OK	 
USER	SmokeTest	67	END	1570467078380	1570467080317
USER	SmokeTest	70	START	1570467080317	1570467080317
REQUEST	68		SmokeTest	1570467078676	1570467080978	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	68	END	1570467078675	1570467080981
USER	SmokeTest	71	START	1570467080981	1570467080981
REQUEST	69		SmokeTest	1570467078895	1570467081396	OK	 
USER	SmokeTest	69	END	1570467078894	1570467081397
USER	SmokeTest	72	START	1570467081398	1570467081398
REQUEST	70		SmokeTest	1570467080319	1570467082075	OK	 
USER	SmokeTest	70	END	1570467080317	1570467082077
USER	SmokeTest	73	START	1570467082077	1570467082077
REQUEST	71		SmokeTest	1570467080982	1570467083177	OK	 
USER	SmokeTest	71	END	1570467080981	1570467083181
USER	SmokeTest	74	START	1570467083184	1570467083184
REQUEST	72		SmokeTest	1570467081398	1570467083479	OK	 
USER	SmokeTest	72	END	1570467081398	1570467083480
USER	SmokeTest	75	START	1570467083481	1570467083481
REQUEST	73		SmokeTest	1570467082079	1570467084207	OK	 
USER	SmokeTest	73	END	1570467082077	1570467084209
USER	SmokeTest	76	START	1570467084209	1570467084209
REQUEST	74		SmokeTest	1570467083186	1570467085474	OK	 
USER	SmokeTest	74	END	1570467083184	1570467085476
USER	SmokeTest	77	START	1570467085476	1570467085476
REQUEST	75		SmokeTest	1570467083482	1570467085785	OK	 
USER	SmokeTest	75	END	1570467083481	1570467085786
USER	SmokeTest	78	START	1570467085787	1570467085787
REQUEST	76		SmokeTest	1570467084211	1570467086286	OK	 
USER	SmokeTest	76	END	1570467084209	1570467086290
USER	SmokeTest	79	START	1570467086290	1570467086290
REQUEST	77		SmokeTest	1570467085477	1570467087082	OK	 
USER	SmokeTest	77	END	1570467085476	1570467087084
USER	SmokeTest	80	START	1570467087084	1570467087084
REQUEST	78		SmokeTest	1570467085787	1570467088119	OK	 
