RUN	SmokeTest.payCredit	paycredit	1570478456284	 	3.0.2
REQUEST	93		SmokeTest	1570478509275	1570478510335	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	93	END	1570478509274	1570478510336
USER	SmokeTest	96	START	1570478510336	1570478510336
REQUEST	94		SmokeTest	1570478509512	1570478510600	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	94	END	1570478509511	1570478510602
USER	SmokeTest	97	START	1570478510602	1570478510602
REQUEST	96		SmokeTest	1570478510337	1570478511350	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	96	END	1570478510336	1570478511353
USER	SmokeTest	98	START	1570478511353	1570478511353
REQUEST	95		SmokeTest	1570478509979	1570478511373	OK	 
USER	SmokeTest	95	END	1570478509978	1570478511375
USER	SmokeTest	99	START	1570478511375	1570478511375
REQUEST	97		SmokeTest	1570478510603	1570478511623	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	97	END	1570478510602	1570478511625
USER	SmokeTest	100	START	1570478511626	1570478511626
REQUEST	99		SmokeTest	1570478511376	1570478512513	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	99	END	1570478511375	1570478512515
USER	SmokeTest	101	START	1570478512515	1570478512515
REQUEST	100		SmokeTest	1570478511626	1570478512699	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	100	END	1570478511626	1570478512700
USER	SmokeTest	102	START	1570478512700	1570478512700
REQUEST	98		SmokeTest	1570478511355	1570478512949	OK	 
USER	SmokeTest	98	END	1570478511353	1570478512950
USER	SmokeTest	103	START	1570478512950	1570478512950
REQUEST	101		SmokeTest	1570478512517	1570478513610	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	101	END	1570478512515	1570478513612
USER	SmokeTest	104	START	1570478513612	1570478513612
REQUEST	102		SmokeTest	1570478512701	1570478513802	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	102	END	1570478512700	1570478513803
USER	SmokeTest	105	START	1570478513803	1570478513803
REQUEST	103		SmokeTest	1570478512951	1570478513947	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	103	END	1570478512950	1570478513948
USER	SmokeTest	106	START	1570478513948	1570478513948
REQUEST	105		SmokeTest	1570478513804	1570478514901	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	105	END	1570478513803	1570478514902
USER	SmokeTest	107	START	1570478514902	1570478514902
REQUEST	106		SmokeTest	1570478513949	1570478514987	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	106	END	1570478513948	1570478514989
USER	SmokeTest	108	START	1570478514990	1570478514990
REQUEST	104		SmokeTest	1570478513613	1570478515144	OK	 
USER	SmokeTest	104	END	1570478513612	1570478515145
USER	SmokeTest	109	START	1570478515145	1570478515145
REQUEST	108		SmokeTest	1570478514991	1570478516089	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	108	END	1570478514990	1570478516091
USER	SmokeTest	110	START	1570478516091	1570478516091
REQUEST	109		SmokeTest	1570478515146	1570478516223	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
